sex,age_grp,value,se,method
male,0-4,275.513996459476,74.7566503796227,regression
female,0-4,235.303333986433,81.9794520327345,regression
male,5-14,-134.328335451118,37.8887676894509,regression
female,5-14,-209.153085634643,40.3750465703446,regression
male,15-29,144.549863325737,39.2823570935174,regression
female,15-29,223.135071060882,45.0807045930255,regression
male,30-44,571.957302719355,62.3533241454308,regression
female,30-44,636.747731693611,58.1557849038083,regression
male,45-59,501.691812086019,55.2279218790091,regression
female,45-59,775.066790119084,61.7044868713769,regression
male,60-64,799.17603623856,124.653755816276,regression
female,60-64,801.772038141373,106.962314693195,regression
male,65-74,926.104712454681,143.386185506481,regression
female,65-74,1149.4831899985,139.666335890863,regression
male,75-84,1258.34445379331,236.805163546047,regression
female,75-84,1614.29650117736,221.749365745413,regression
male,85+,2015.62353996358,626.591585012508,regression
female,85+,1663.67530460926,386.822686903936,regression
female,0-4,404.903199399509,27.2250581544469,nta_utilization
male,0-4,432.279433766658,23.2271538123596,nta_utilization
female,15-29,294.576185305082,9.46404759687812,nta_utilization
male,15-29,227.877670707903,7.52115548986111,nta_utilization
female,30-44,453.241728882141,13.4757624516057,nta_utilization
male,30-44,342.355252179006,13.2834895705276,nta_utilization
female,45-59,697.408629752558,19.7744649020975,nta_utilization
male,45-59,504.723441918993,18.2431600793518,nta_utilization
female,5-14,204.150941088686,6.78176708015128,nta_utilization
male,5-14,217.502904444902,8.00752829171557,nta_utilization
female,60-64,915.63770973478,42.2570766235068,nta_utilization
male,60-64,788.424559195395,50.68688158625,nta_utilization
female,65-74,1240.93143851292,82.6565780375576,nta_utilization
male,65-74,908.216417937419,81.2881398821165,nta_utilization
female,75-84,1501.17621419221,131.630105289094,nta_utilization
male,75-84,1099.00027825803,102.668240819982,nta_utilization
female,85+,1403.27716537526,201.376498856567,nta_utilization
male,85+,1481.96012077353,271.033350654392,nta_utilization
