sex,age_grp,oop_q24,se,wave
female,50-54,3617.41712256722,505.393939808562,2018
male,50-54,2485.92269916966,499.678146432933,2018
female,55-59,3548.7502904775,676.143424783665,2018
male,55-59,2739.57607213705,467.947914917624,2018
female,60-64,3564.60248630807,664.191999621311,2018
male,60-64,4419.48341422477,1510.11483522481,2018
female,65-69,4102.65351274808,1003.28035012673,2018
male,65-69,3852.74141537908,570.807583268472,2018
female,70-74,6741.00928199546,2407.53549999518,2018
male,70-74,3443.24227444742,596.533718740124,2018
female,75-79,5195.75485934273,964.627713808607,2018
male,75-79,4684.68742977026,842.344903179759,2018
female,80-84,7195.42539601461,1803.01719305159,2018
male,80-84,4791.64778596294,855.865199562497,2018
female,85+,7258.76951942098,2245.18580985271,2018
male,85+,7499.40970323956,2228.08961655473,2018
female,50-54,4248.03707245535,941.151136977718,2021
male,50-54,1708.92741350396,216.792971732481,2021
female,55-59,4783.75193993538,989.127196347162,2021
male,55-59,3596.94180238366,566.447002870955,2021
female,60-64,8057.33007590839,4046.65116046421,2021
male,60-64,4606.15359734688,791.086583528429,2021
female,65-69,4474.54272085743,634.127314792726,2021
male,65-69,3517.97843299987,393.665740297299,2021
female,70-74,5948.57918732969,864.406317596467,2021
male,70-74,4515.12152822026,790.991874847118,2021
female,75-79,4311.25512625079,558.000096672093,2021
male,75-79,3587.11389651063,475.272711302523,2021
female,80-84,6399.77277932088,866.724781841112,2021
male,80-84,4858.0676978786,1775.92171326759,2021
female,85+,4249.83220537852,677.61022927428,2021
male,85+,6697.980289927,1835.07013108245,2021
female,50-54,2584.75643235657,267.772484703023,2024
male,50-54,2483.93177637817,435.632027530029,2024
female,55-59,4691.84972680595,1342.05450813275,2024
male,55-59,2455.75244264838,373.853802258549,2024
female,60-64,3621.15443461589,320.058870319437,2024
male,60-64,3620.5558563877,526.034790602563,2024
female,65-69,3813.04378712855,348.036238732941,2024
male,65-69,4630.91406851132,934.745292064716,2024
female,70-74,4416.30405457391,560.819000977964,2024
male,70-74,4736.57524691543,1288.15055065485,2024
female,75-79,6119.17359801055,818.764207112629,2024
male,75-79,3835.71383696264,565.119431555419,2024
female,80-84,6153.69152704938,1160.81155155703,2024
male,80-84,4911.85522030016,840.855108951177,2024
female,85+,5501.60858526867,811.340358641442,2024
male,85+,6545.04833489526,2494.78166335627,2024
