sex,age_grp,inc_tercile,alloc,se,year,method
female,0-4,1,156.897877329151,14.5725963502778,2018,nta_utilization
male,0-4,1,151.649461911799,11.7111745871278,2018,nta_utilization
female,15-29,1,113.332088426324,7.27257239873646,2018,nta_utilization
male,15-29,1,76.790370920782,5.56151727275864,2018,nta_utilization
female,30-44,1,157.099279083629,9.63720417725902,2018,nta_utilization
male,30-44,1,84.590746460747,5.84130063698371,2018,nta_utilization
female,45-59,1,257.392200496226,14.941043433392,2018,nta_utilization
male,45-59,1,146.044093531869,11.3083844392249,2018,nta_utilization
female,5-14,1,85.7100297041369,7.49649629684316,2018,nta_utilization
male,5-14,1,79.6717318934417,4.85488773406007,2018,nta_utilization
female,60-64,1,378.797316859258,36.517342010346,2018,nta_utilization
male,60-64,1,278.358829958969,45.9994139872138,2018,nta_utilization
female,65-74,1,345.856833037378,27.6991349737875,2018,nta_utilization
male,65-74,1,271.448386829072,37.0450728536915,2018,nta_utilization
female,75-84,1,313.81194409487,28.3612954684844,2018,nta_utilization
male,75-84,1,251.798751943197,26.2119796184639,2018,nta_utilization
female,85+,1,336.353588944864,41.7096417204342,2018,nta_utilization
male,85+,1,366.845108273887,90.556501192469,2018,nta_utilization
female,0-4,2,260.182733860208,21.0297543889329,2018,nta_utilization
male,0-4,2,291.691913529453,30.6499368125135,2018,nta_utilization
female,15-29,2,170.249109049656,10.2676439736811,2018,nta_utilization
male,15-29,2,97.8450330957105,4.50905504011486,2018,nta_utilization
female,30-44,2,197.259686239567,8.65195714280599,2018,nta_utilization
male,30-44,2,130.036073352863,7.93413151826001,2018,nta_utilization
female,45-59,2,344.419053044129,25.3670882465849,2018,nta_utilization
male,45-59,2,178.951305028483,10.5860685248845,2018,nta_utilization
female,5-14,2,128.842355033907,7.56374424854533,2018,nta_utilization
male,5-14,2,127.204621535712,7.4122229488204,2018,nta_utilization
female,60-64,2,556.79882183165,69.2519826003011,2018,nta_utilization
male,60-64,2,321.858738365271,36.6041250921347,2018,nta_utilization
female,65-74,2,696.561240572733,110.792573049533,2018,nta_utilization
male,65-74,2,425.696084918209,59.5062137427289,2018,nta_utilization
female,75-84,2,476.535287810177,54.9334703849694,2018,nta_utilization
male,75-84,2,689.855792270464,219.040336721662,2018,nta_utilization
female,85+,2,478.606489884457,88.743552636812,2018,nta_utilization
male,85+,2,434.150401435064,83.0342228855124,2018,nta_utilization
female,0-4,3,591.393630553031,44.74219796003,2018,nta_utilization
male,0-4,3,594.983122782701,52.2272158844762,2018,nta_utilization
female,15-29,3,373.774584052625,26.2911430488271,2018,nta_utilization
male,15-29,3,227.090191772195,15.0150513682684,2018,nta_utilization
female,30-44,3,524.01398469889,28.6374394320761,2018,nta_utilization
male,30-44,3,304.844445355605,16.4413668364661,2018,nta_utilization
female,45-59,3,894.500559352223,53.3294992252431,2018,nta_utilization
male,45-59,3,438.447721093521,26.2401352427355,2018,nta_utilization
female,5-14,3,328.901598213252,36.815977077116,2018,nta_utilization
male,5-14,3,273.642833189544,17.6629198607153,2018,nta_utilization
female,60-64,3,1261.55493999524,125.788501622869,2018,nta_utilization
male,60-64,3,869.466095059136,88.54663202406,2018,nta_utilization
female,65-74,3,1797.8472490669,279.284460818607,2018,nta_utilization
male,65-74,3,1140.51865228671,152.465027930385,2018,nta_utilization
female,75-84,3,1854.61016036714,249.810151831503,2018,nta_utilization
male,75-84,3,1292.13936779149,328.581934463134,2018,nta_utilization
female,85+,3,1689.8019506824,385.222573056669,2018,nta_utilization
male,85+,3,867.227796294247,187.872449334393,2018,nta_utilization
female,0-4,1,231.950462984436,20.4700164095736,2020,nta_utilization
male,0-4,1,224.781969175284,15.4961461029128,2020,nta_utilization
female,15-29,1,159.15697536885,8.62705890108407,2020,nta_utilization
male,15-29,1,112.642399983926,8.00304048408901,2020,nta_utilization
female,30-44,1,266.925890708245,27.2512678836276,2020,nta_utilization
male,30-44,1,151.440624580367,17.2086272052365,2020,nta_utilization
female,45-59,1,414.927064029975,37.9581503646077,2020,nta_utilization
male,45-59,1,236.841654819364,24.1174418794283,2020,nta_utilization
female,5-14,1,145.061002277327,16.5353638611998,2020,nta_utilization
male,5-14,1,129.483090864988,8.14150536200671,2020,nta_utilization
female,60-64,1,377.93627610545,25.1617308284755,2020,nta_utilization
male,60-64,1,291.155642342188,30.153067990291,2020,nta_utilization
female,65-74,1,574.451071863618,49.0393743026587,2020,nta_utilization
male,65-74,1,364.990126391138,40.8733131337815,2020,nta_utilization
female,75-84,1,567.683072127327,38.2737604989127,2020,nta_utilization
male,75-84,1,375.415343816514,34.1535548966035,2020,nta_utilization
female,85+,1,581.960752165282,71.8130574963898,2020,nta_utilization
male,85+,1,605.576011678985,217.381428268046,2020,nta_utilization
female,0-4,2,406.654834104906,26.6983402936861,2020,nta_utilization
male,0-4,2,385.809083049986,31.4776119331101,2020,nta_utilization
female,15-29,2,252.380154300522,10.4133690488764,2020,nta_utilization
male,15-29,2,163.621836975841,7.0482469046051,2020,nta_utilization
female,30-44,2,350.414911684611,19.7795754660509,2020,nta_utilization
male,30-44,2,188.720906705053,8.58556839068931,2020,nta_utilization
female,45-59,2,544.228384296122,26.9247716023137,2020,nta_utilization
male,45-59,2,328.178124687064,25.5706988952845,2020,nta_utilization
female,5-14,2,209.729817032496,16.5095488834459,2020,nta_utilization
male,5-14,2,182.177146158282,8.12642599251249,2020,nta_utilization
female,60-64,2,691.901208978786,51.8692083035065,2020,nta_utilization
male,60-64,2,509.678465222855,59.9068211537036,2020,nta_utilization
female,65-74,2,922.139135173877,121.554478760045,2020,nta_utilization
male,65-74,2,569.218824491665,78.6896268331564,2020,nta_utilization
female,75-84,2,1083.98927427751,110.70605480964,2020,nta_utilization
male,75-84,2,784.117136939964,97.2422466340936,2020,nta_utilization
female,85+,2,841.197693555594,116.311664187201,2020,nta_utilization
male,85+,2,712.94984987012,181.765041297046,2020,nta_utilization
female,0-4,3,742.376527732784,56.5530618379395,2020,nta_utilization
male,0-4,3,693.188028135702,37.4920274739244,2020,nta_utilization
female,15-29,3,488.955614751069,23.9286843138911,2020,nta_utilization
male,15-29,3,326.319157329328,22.0803036402702,2020,nta_utilization
female,30-44,3,753.117700864538,42.4707220176695,2020,nta_utilization
male,30-44,3,469.137348791137,46.7438643108387,2020,nta_utilization
female,45-59,3,1148.73665527462,51.0360548778927,2020,nta_utilization
male,45-59,3,665.123214870599,33.5198471211884,2020,nta_utilization
female,5-14,3,372.575437475896,17.8306667723304,2020,nta_utilization
male,5-14,3,393.510751078373,19.4947873802453,2020,nta_utilization
female,60-64,3,1473.89803741843,141.597281512378,2020,nta_utilization
male,60-64,3,1113.56570181675,84.1083491011253,2020,nta_utilization
female,65-74,3,1939.35687852124,186.355833962625,2020,nta_utilization
male,65-74,3,1080.27356040998,67.280114737041,2020,nta_utilization
female,75-84,3,2024.51908811631,242.925233363693,2020,nta_utilization
male,75-84,3,1587.35249979872,232.492944625234,2020,nta_utilization
female,85+,3,1361.03504314683,218.730805127066,2020,nta_utilization
male,85+,3,1540.04139290104,284.735249564863,2020,nta_utilization
female,0-4,1,212.175159537192,19.7257490222299,2022,nta_utilization
male,0-4,1,255.041202673864,49.7395555426977,2022,nta_utilization
female,15-29,1,149.258704259911,6.80803837371442,2022,nta_utilization
male,15-29,1,115.019392957829,7.55556635647823,2022,nta_utilization
female,30-44,1,225.85149571087,22.7023034876415,2022,nta_utilization
male,30-44,1,136.944399334558,6.65537946163017,2022,nta_utilization
female,45-59,1,335.133353369133,17.1643649837402,2022,nta_utilization
male,45-59,1,211.110530666084,10.9298098312068,2022,nta_utilization
female,5-14,1,120.588114326386,6.78226545843662,2022,nta_utilization
male,5-14,1,125.680251788349,11.7417491118766,2022,nta_utilization
female,60-64,1,420.394965017363,33.2145964747001,2022,nta_utilization
male,60-64,1,308.103869712163,33.6974182619092,2022,nta_utilization
female,65-74,1,519.48285066356,31.8713034423343,2022,nta_utilization
male,65-74,1,366.513376382375,26.017283806964,2022,nta_utilization
