decile,has65,p_zero,p_zero_se,year
1,FALSE,0.53880130687273,0.0107366818979455,2018
2,FALSE,0.498069916403692,0.00953121511622753,2018
3,FALSE,0.505498933324867,0.00974973473063352,2018
4,FALSE,0.490907891764985,0.00949078458317645,2018
5,FALSE,0.45961224607315,0.00984379099965286,2018
6,FALSE,0.468054693415248,0.00937901057549762,2018
7,FALSE,0.444012431715967,0.00956946625860437,2018
8,FALSE,0.423792196018685,0.00983673626090483,2018
9,FALSE,0.401502587393199,0.0106902354965314,2018
10,FALSE,0.348955634159276,0.0106895728624805,2018
1,TRUE,0.575716615533421,0.0118299277261596,2018
2,TRUE,0.553421620613392,0.0141146435649798,2018
3,TRUE,0.532087865366691,0.0157410200080413,2018
4,TRUE,0.515090859247034,0.018205990690935,2018
5,TRUE,0.499449657293119,0.0193692671386184,2018
6,TRUE,0.447466892741252,0.0202263438947729,2018
7,TRUE,0.433413371125137,0.0184068197401362,2018
8,TRUE,0.449600079938593,0.0214234603742181,2018
9,TRUE,0.395959707097585,0.0191330527837222,2018
10,TRUE,0.342599601517979,0.0195527447850443,2018
1,FALSE,0.411606377576927,0.0099763355205002,2020
2,FALSE,0.376011960588039,0.00867226388607805,2020
3,FALSE,0.359059909360982,0.00838714165271236,2020
4,FALSE,0.334552934283431,0.00844228667992136,2020
5,FALSE,0.327143903781676,0.00837931980383682,2020
6,FALSE,0.332875605282707,0.00873986041520103,2020
7,FALSE,0.308639755068905,0.00816009068859273,2020
8,FALSE,0.284207086555262,0.00831967168667166,2020
9,FALSE,0.271559797542209,0.00866266130147384,2020
10,FALSE,0.225443139611141,0.00820911544588109,2020
1,TRUE,0.435802199599109,0.0121048158197273,2020
2,TRUE,0.390318186414767,0.0134042453342964,2020
3,TRUE,0.358227484582231,0.0139001606473252,2020
4,TRUE,0.375536679175033,0.0151417392618547,2020
5,TRUE,0.316294695268427,0.0142985735153991,2020
6,TRUE,0.286891117055862,0.0148021290119045,2020
7,TRUE,0.242077791464141,0.0132973248818067,2020
8,TRUE,0.2868093753532,0.0145027071361911,2020
9,TRUE,0.236904976722365,0.0141232479283325,2020
10,TRUE,0.195578826188333,0.0126599614316228,2020
1,FALSE,0.434992706639849,0.00922469852362693,2022
2,FALSE,0.414909822366117,0.00931440963682963,2022
3,FALSE,0.369317457855533,0.00885748790450855,2022
4,FALSE,0.366464686747282,0.00891437354295964,2022
5,FALSE,0.362472902020359,0.00914814739819794,2022
6,FALSE,0.360485491563972,0.00896056138426123,2022
7,FALSE,0.350860508957774,0.00876122606724759,2022
8,FALSE,0.334429037483461,0.00816069214375045,2022
9,FALSE,0.331500422337631,0.00814465782216924,2022
10,FALSE,0.297440088597296,0.00859604047250313,2022
1,TRUE,0.407174738319729,0.011136906251617,2022
2,TRUE,0.381542164932443,0.0124942964648606,2022
3,TRUE,0.385970074781062,0.0147032298714748,2022
4,TRUE,0.355642631539233,0.0142001308746468,2022
5,TRUE,0.325132371474163,0.014996963631781,2022
6,TRUE,0.319959802566729,0.0148305589541194,2022
7,TRUE,0.303699535329448,0.0145434314966324,2022
8,TRUE,0.288847584062912,0.0149134119386593,2022
9,TRUE,0.286350383688885,0.0150151074504328,2022
10,TRUE,0.234361135540432,0.0135415289071576,2022
1,FALSE,0.454565447197172,0.0093279959695701,2024
2,FALSE,0.416621931100807,0.00927440142565034,2024
3,FALSE,0.410748894474407,0.00963339299456306,2024
4,FALSE,0.384684912427977,0.0095046700944639,2024
5,FALSE,0.354909596747469,0.00886761722112014,2024
6,FALSE,0.364866843335348,0.00934472656405218,2024
7,FALSE,0.346427553243295,0.0086794493064932,2024
8,FALSE,0.3572847447043,0.00929361713096029,2024
9,FALSE,0.330328080562967,0.00943250881566421,2024
10,FALSE,0.279091557127174,0.00891302444599592,2024
1,TRUE,0.395096194786146,0.0115192275086734,2024
2,TRUE,0.366139460576183,0.0129264789808399,2024
3,TRUE,0.369197952714126,0.0147094887844918,2024
4,TRUE,0.351911580938228,0.0154342794233019,2024
5,TRUE,0.342125669866074,0.0160137472457003,2024
6,TRUE,0.328009603356687,0.0155622829929968,2024
7,TRUE,0.334795190912849,0.0158790913299971,2024
8,TRUE,0.299350127233205,0.0149818704342112,2024
9,TRUE,0.285487824666752,0.0147351934678277,2024
10,TRUE,0.2478914266179,0.0142598728517719,2024
