decile,cat40ctp,cat40ctp_se,cat25tot,cat25tot_se,year
1,0.0248569333890697,0.00208954311061788,0.017299969825634,0.00166584435441914,2018
2,0.0167918237187054,0.00170899596026401,0.0160030260986471,0.00167804334414294,2018
3,0.0157789660096385,0.00202984151571881,0.0136653768696268,0.00188691819976504,2018
4,0.011751590134769,0.0015725243284327,0.0108951848277306,0.0014882100177528,2018
5,0.0114790919757702,0.0018025057726949,0.0108145053161118,0.00165609571595693,2018
6,0.0111741732288957,0.00180249989739187,0.0109558924616984,0.00174605752860577,2018
7,0.0113910865082404,0.00157369463236825,0.0130098290348567,0.00166591224408782,2018
8,0.0122799500732797,0.00224838653092068,0.0137019430609823,0.00228928421132165,2018
9,0.0129058221587942,0.00178420401397525,0.0158226007743959,0.00197194919524738,2018
10,0.0139948251692979,0.00195626545325256,0.0182147763966347,0.00218828484419775,2018
1,0.0364034507385228,0.00269013516767486,0.0242077044935186,0.00204825572006048,2020
2,0.027239087875722,0.00209845845040803,0.0246791473093072,0.00197757133539972,2020
3,0.0223267694939652,0.00187429397709591,0.0190806074756552,0.00187412690472922,2020
4,0.0228405130897874,0.00211683781945144,0.0227269357591512,0.00213618016584735,2020
5,0.0255383704870549,0.00224861201983451,0.0252402158572393,0.00230442509621841,2020
6,0.0223335238403758,0.00208120866290925,0.0213146888203138,0.00188453000396429,2020
7,0.0211753369604813,0.00227062086870702,0.0231674145351157,0.00235418984591642,2020
8,0.023059817606468,0.00213640542880814,0.0251792223946058,0.00223774705998873,2020
9,0.022984637839994,0.00216095819287138,0.0289609401857871,0.00248313976400295,2020
10,0.0268505711116923,0.00239163929415174,0.0356784320197368,0.00277128310963716,2020
1,0.0296320362171699,0.00214608415031223,0.0222836789720715,0.00190548326998178,2022
2,0.0240243117858233,0.0018891954306584,0.020750834273613,0.0017750132049215,2022
3,0.0157059781666586,0.00169345997951135,0.0142616768327835,0.00158142354560491,2022
4,0.020133013184444,0.00203262495538133,0.0153462211098595,0.00167598823015751,2022
5,0.0174147849567565,0.00185476518461525,0.0167755906025385,0.00186714698882134,2022
6,0.0177350745364618,0.00220784309966844,0.0168247848012765,0.00215590323713153,2022
7,0.0151479728589056,0.00189049680749509,0.0167365821627347,0.00190897827850129,2022
8,0.0196626357216439,0.00211000073590658,0.021322039943888,0.00211524515824018,2022
9,0.014943688596608,0.0016903561692964,0.0176626108256343,0.00174199369486717,2022
10,0.0245103664015441,0.00244590642203817,0.0307638856534327,0.00299840017380695,2022
1,0.0389762972440357,0.00272998366060213,0.0270061943009958,0.00223218267473863,2024
2,0.025518137583884,0.00219380932992352,0.0216008479949483,0.00192548814893919,2024
3,0.0244070965565373,0.00228181097397587,0.0193360305536169,0.00197846530132202,2024
4,0.017324409581855,0.00191975358670976,0.0153821904090791,0.00176216975300072,2024
5,0.0188074696289444,0.00200920159388105,0.0195756627758272,0.00203017242330947,2024
6,0.0187313015980607,0.00198289965039905,0.0175698341934459,0.0017974876370824,2024
7,0.0136628719252229,0.00153796908415487,0.0154880047798033,0.00157940954970585,2024
8,0.0182123805969823,0.00209229390847964,0.0180336511061269,0.0020590994814598,2024
9,0.0160549306992802,0.00187694606505387,0.0195424347325839,0.00199210932836041,2024
10,0.0182856042134713,0.00226524629779334,0.0232006683209877,0.00233005765215634,2024
