decile,p10,p25,p50,p75,p90,p95,p99,year
1,31.6491517998183,92.3313772361978,294.14697409861,791.498493775176,1778.20496430969,3034.084301941,8178.89867864407,2018
2,46.158946148606,131.896188220717,395.729019479109,919.457079812021,1978.75297690743,3297.94410307736,13273.5355973807,2018
3,47.4804701692205,138.50380832379,395.742504418095,1002.5512738429,2242.59929310481,3667.29658190013,10939.9264510603,2018
4,52.7665662516784,158.299698755035,415.524909910355,1022.34716427415,2381.1031014286,4379.66545370626,12334.2961120765,2018
5,65.9548365798515,178.068619308309,501.275636921452,1187.25448313226,2941.7529247048,5097.2799667779,13851.3652329249,2018
6,65.9548365798515,184.676239411381,527.665662516784,1350.79982315279,3034.09778687999,5276.71056492378,16357.7838723491,2018
7,79.1431069080247,224.227565456915,590.963966116421,1582.99698755035,3508.99688314509,6200.13221679765,22923.2905109687,2018
8,92.3313772361978,263.832831258392,699.153631599992,1846.84330374773,4353.27542811093,7862.28579619501,27161.8495631269,2018
9,112.113782728457,342.975938166417,1042.14305470539,2673.94203644558,6192.20307267396,11281.5673802672,35353.9499970382,2018
10,211.066265006714,596.250062198879,1780.88846716788,4801.78449878071,11674.707291461,21106.8422596951,73641.7507445354,2018
1,39.4250492953361,98.6067228460533,284.707067394508,801.176473152203,1972.14705680898,3697.77730650283,10680.4083926607,2020
2,54.2173177110359,123.252103613608,382.091601112518,986.067228460533,2218.66386392412,3697.78990639075,10920.7890543598,2020
3,61.6260518068038,154.071429460969,431.394962535545,1109.31933207414,2502.1613420785,3950.45545880986,14298.1134114448,2020
4,73.948742190581,172.555465036634,493.021014342348,1251.0428713755,3056.80840822765,5127.56218788269,17680.33912493,2020
5,80.1100873824696,208.288747172004,554.65966603707,1429.79748126777,3495.61210485896,5729.0808370867,20160.3624639366,2020
6,86.2714325743581,221.858826459661,622.434463147845,1627.01092695988,3754.46420224579,6310.88066169908,22186.7520382324,2020
7,98.6067228460533,258.826897610992,680.368747794682,1910.50840511426,4437.34032773615,7777.62101434235,25564.0511955416,2020
8,123.252103613608,308.142858921937,814.721352664024,2218.6512640362,5266.86654870379,9027.50469602939,29582.3318510139,2020
9,156.528407604973,394.426891384213,1109.33193196206,2945.87899499782,6656.01679154819,12245.8436673655,38087.2561956454,2020
10,246.504207227215,616.298317731792,1922.84369538596,5275.4974719276,13003.8655243986,23542.5881774217,61629.8821727309,2020
1,42.7871674402128,106.962451290611,320.898288491675,877.131465214441,2032.40685533987,3209.07036187548,9844.32889720142,2022
2,53.4812256453056,126.218316831683,374.379514136981,962.716734714709,2235.637699716,3658.3301526878,9932.04641757081,2022
3,53.4812256453056,149.749618730824,427.871674402128,1069.67918600532,2262.37284522873,3770.63963308096,11660.6676644711,2022
4,64.1752838503984,160.443676935917,427.871674402128,1171.28367357354,2695.61341797309,4373.94634822184,14248.2689076488,2022
5,74.8693420554912,192.536786171037,508.088045560166,1283.62595782623,2952.32548799452,4952.66110333896,18826.5286276111,2022
6,85.5743348804256,213.935837201064,641.807511603192,1572.42020246294,3850.87787347868,6279.06329398555,20013.9080615915,2022
7,96.2574584656768,256.712070021435,641.807511603192,1711.49763222835,3840.17288065374,6450.21196374641,28132.8523593657,2022
8,111.23788764868,298.42764471717,817.231617722112,2171.44054662592,5455.40211979658,9466.72367021117,31769.7725264036,2022
9,136.912375036776,374.379514136981,1048.28013497529,2636.76329398555,5990.258114729,11452.0897909924,34722.1417528775,2022
10,201.076724267333,599.009409543137,1825.95029811047,5348.45060312581,13478.099893725,28390.6578913713,78472.5289203178,2022
1,48.91,136.95,391.3,1076.07,2561.06,4081.26,10369.56,2024
2,68.47,176.08,440.21,1165.08,2641.28,4304.33,11827.16,2024
3,76.29,195.65,489.12,1301.07,3179.31,5566.28,15163.02,2024
4,81.18,213.24,538.04,1467.39,3251.71,5468.45,17131.26,2024
5,97.82,244.56,628.02,1563.23,3893.45,6578.76,20582.58,2024
6,102.71,258.25,684.77,1766.72,4245.64,6801.83,21076.61,2024
7,107.6,273.91,723.9,1858.68,4304.34,7107.04,20535.61,2024
8,141.84,337.49,929.34,2543.46,5804.99,9244.55,29553.23,2024
9,151.62,410.85,1218.89,3228.25,7454.32,13206.52,34575.59,2024
10,293.46,782.6,2426.07,6358.69,15916.29,29219.62,63586.95,2024
