decile,salud_18,salud_se_18,alimentos_18,gasto_mon_18,p_zero_18,p_zero_se_18,salud_condpos_18,salud_condpos_se_18,salud_total_18,year_18,salud_20,salud_se_20,alimentos_20,gasto_mon_20,p_zero_20,p_zero_se_20,salud_condpos_20,salud_condpos_se_20,salud_total_20,year_20,d_salud_pct,d_alim_pct,d_gasto_pct,d_condpos_pct,d_pzero_pp,jump_contrib
1,354.583730866904,16.9875242356664,6802.92238306397,13615.748654871,0.552869384530143,0.00846321283065442,793.02047007964,34.7399402461829,1219770161.68454,2018,624.851708237364,63.4049746077218,7514.91847230199,14969.2925948232,0.419139855392136,0.00829486162037883,1075.7352075846,108.591163813684,2233701765.90739,2020,0.762212007611556,0.104660328186391,0.0994101737819608,0.356503707245503,-0.133729529138008,0.0563225257837182
2,487.900394587046,25.8038334177643,9101.74265761358,19350.8288701783,0.513169111464402,0.00822094277033159,1002.19687385627,50.6466093662058,1678090471.94742,2018,682.815270544198,43.5987083657583,9102.34241085317,18687.4775101355,0.380048239439476,0.00750842533417429,1101.40064757109,69.5101115886468,2441121265.86296,2020,0.399497270589677,6.5894330587124e-05,-0.0342802556155705,0.0989863132710669,-0.133120872024926,0.0423853259777011
3,513.563298932375,28.1665548755093,10544.2217764999,23456.4626833508,0.511642615095712,0.00839597188443038,1051.6136641059,54.3927930704223,1766962291.36364,2018,799.475812303868,45.7411649860017,10441.0609588728,22383.2818162535,0.35885153277309,0.00727361092714145,1246.9433417844,70.338268479764,2858118833.70402,2020,0.556723025118547,-0.00978363503857926,-0.0457520335263113,0.185742810640034,-0.152791082322622,0.0606122663837307
4,609.771723817195,34.9259614358626,11880.9860765101,27614.7125001033,0.496011000127909,0.00849664178035476,1209.89093804021,66.8236418662188,2097590339.0622,2018,977.646100342399,68.1294980918069,11676.1369969553,25849.877140221,0.344345205707848,0.00721596262275285,1491.09883562717,102.971518374729,3494749476.11166,2020,0.603298516733929,-0.0172417573958557,-0.0639092425776896,0.232424170431805,-0.15166579442006,0.0776102955985286
5,788.379131619607,71.07919200228,13441.0512819646,32635.672938858,0.467672190740441,0.00892283389568817,1481.00309227918,131.139790398058,2711812927.16418,2018,1140.35753952246,52.971396713513,12648.2449570295,29413.2887427338,0.324623824512786,0.00718424680643338,1688.47759354231,76.7335738588467,4077149960.35069,2020,0.446458301324856,-0.058983952095982,-0.09873809564648,0.140090525364023,-0.143048366227656,0.0758426208778191
6,781.230354861996,41.1146011376869,14601.1900140796,37067.1009820955,0.463960857113875,0.00880213394127823,1457.41288715544,73.9072405881241,2687841004.20086,2018,1278.35341051612,74.7784128224483,13973.3303569422,33438.5081560868,0.321974246021522,0.00767805523000955,1885.40538912434,109.144045146944,4569692864.32306,2020,0.636333512337647,-0.0430005812219421,-0.09789254432823,0.293665923871614,-0.141986611092353,0.104534319150757
7,1015.4069060751,58.925757063495,16253.4585569455,43318.2617532847,0.44207079265763,0.0086457952313537,1819.95653339582,103.868012326435,3492702242.67485,2018,1493.20075542324,67.3714619825831,15318.9265527665,38572.2011821181,0.293233539200002,0.00711791153575461,2112.7215823641,92.7287374810064,5336935425.60203,2020,0.47054421876545,-0.0574974243730793,-0.109562581208759,0.160863758884402,-0.148837253457629,0.102444652641259
8,1244.68990609253,98.2716887389559,18117.9354915031,51448.0201634573,0.428747163716971,0.00912654557599756,2178.87742000784,168.154884020264,4282034491.91557,2018,1788.64466470942,76.5260593837125,16921.6950795632,44692.2079455266,0.284825184759301,0.00719881971965762,2500.98944564684,104.805533426806,6396200475.57954,2020,0.437020301967851,-0.0660252053828625,-0.131313356596943,0.147833936265145,-0.14392197895767,0.117439053709389
9,1889.73049194639,162.067455341158,21360.0928985532,65236.0392598896,0.400389291517353,0.00946983106713513,3151.59563565579,266.040666051925,6498911663.47707,2018,2450.57273038971,126.179314744477,19378.7123048637,56120.2517558588,0.263501646035626,0.00756385177208767,3327.32954147002,168.915440082394,8760682334.22488,2020,0.296784245601956,-0.0927608603155362,-0.13973545309388,0.055760296094479,-0.136887645481727,0.125638293933732
10,3653.16123787044,203.083566847957,30040.2810580965,118242.488054461,0.347496507105512,0.00937910056569257,5598.68457050722,303.898655677608,12571521479.3689,2018,4710.7446967846,209.098369876863,26410.8178887867,92735.5043429109,0.217156427401613,0.00720369878724503,6017.47892129824,262.709426510978,16841124274.5163,2020,0.289498160648028,-0.120819880556067,-0.215717582835383,0.0748022764127752,-0.130340079703899,0.237170645943366
