sex,age_grp,reg,nta
female,0-4,235.303333986433,404.903199399509
female,15-29,223.135071060882,294.576185305082
female,30-44,636.747731693611,453.241728882141
female,45-59,775.066790119084,697.408629752558
female,5-14,-209.153085634643,204.150941088686
female,60-64,801.772038141373,915.63770973478
female,65-74,1149.4831899985,1240.93143851292
female,75-84,1614.29650117736,1501.17621419221
female,85+,1663.67530460926,1403.27716537526
male,0-4,275.513996459476,432.279433766658
male,15-29,144.549863325737,227.877670707903
male,30-44,571.957302719355,342.355252179006
male,45-59,501.691812086019,504.723441918993
male,5-14,-134.328335451118,217.502904444902
male,60-64,799.17603623856,788.424559195395
male,65-74,926.104712454681,908.216417937419
male,75-84,1258.34445379331,1099.00027825803
male,85+,2015.62353996358,1481.96012077353
