cell,coef,se,year,method,sex,age_grp
male_0-4,234.984511944223,74.4972371555001,2018,regression,male,0-4
female_0-4,175.158377494358,74.3841616669001,2018,regression,female,0-4
male_5-14,-72.4402574448749,39.9531526836482,2018,regression,male,5-14
female_5-14,8.57784396480727,87.006140492318,2018,regression,female,5-14
male_15-29,65.4559719468454,36.0856625768596,2018,regression,male,15-29
female_15-29,283.902569500058,76.4977576462405,2018,regression,female,15-29
male_30-44,294.935459284253,72.0465106434907,2018,regression,male,30-44
female_30-44,426.712395528812,68.6985801349058,2018,regression,female,30-44
male_45-59,192.87847841901,66.7414398897908,2018,regression,male,45-59
female_45-59,721.086370144712,65.1708334810435,2018,regression,female,45-59
male_60-64,484.711121479554,119.864935129047,2018,regression,male,60-64
female_60-64,793.801804633828,151.742072670156,2018,regression,female,60-64
male_65-74,826.569781850262,235.669392355217,2018,regression,male,65-74
female_65-74,841.371886462405,179.728383142294,2018,regression,female,65-74
male_75-84,692.167404215843,263.089121880514,2018,regression,male,75-84
female_75-84,743.745849967271,154.487416167812,2018,regression,female,75-84
male_85+,417.404982721422,195.340779653233,2018,regression,male,85+
female_85+,953.800321310275,328.32322623575,2018,regression,female,85+
male_0-4,217.748276990934,63.8464668139014,2020,regression,male,0-4
female_0-4,237.431089569945,76.9941705471936,2020,regression,female,0-4
male_5-14,-128.597741333699,40.6159421316966,2020,regression,male,5-14
female_5-14,-173.164103876276,42.7362793016865,2020,regression,female,5-14
male_15-29,141.017776244618,58.3506778967295,2020,regression,male,15-29
female_15-29,300.031272558691,51.4146842539367,2020,regression,female,15-29
male_30-44,479.576376455504,68.1081644147819,2020,regression,male,30-44
female_30-44,788.547158120908,79.7236162561863,2020,regression,female,30-44
male_45-59,524.127726067237,73.5360184695485,2020,regression,male,45-59
female_45-59,888.240239971971,74.0507906656043,2020,regression,female,45-59
male_60-64,736.22730738803,119.265499943822,2020,regression,male,60-64
female_60-64,772.603502593703,111.977272927858,2020,regression,female,60-64
male_65-74,670.300535502754,105.837539352208,2020,regression,male,65-74
female_65-74,1122.20223185126,131.711503676936,2020,regression,female,65-74
male_75-84,879.625390689829,180.77578923843,2020,regression,male,75-84
female_75-84,1064.2026006597,128.561747595728,2020,regression,female,75-84
male_85+,734.241422437734,237.431411414977,2020,regression,male,85+
female_85+,847.22143720413,188.683440132247,2020,regression,female,85+
male_0-4,320.934464250169,79.2892323727442,2022,regression,male,0-4
female_0-4,595.360914793736,231.816552081689,2022,regression,female,0-4
male_5-14,-91.3615678262459,64.3140888472292,2022,regression,male,5-14
female_5-14,-126.46030322283,64.7632449295744,2022,regression,female,5-14
male_15-29,115.320827186716,54.3882170280513,2022,regression,male,15-29
female_15-29,285.015556257145,51.6713440893019,2022,regression,female,15-29
male_30-44,315.874991951802,79.7597636531449,2022,regression,male,30-44
female_30-44,612.548594777175,104.801349795213,2022,regression,female,30-44
male_45-59,464.690337725334,59.6676449322714,2022,regression,male,45-59
female_45-59,662.217693344022,64.2568981818539,2022,regression,female,45-59
male_60-64,723.994492702899,122.743977744463,2022,regression,male,60-64
female_60-64,884.841102760372,145.012468307673,2022,regression,female,60-64
male_65-74,957.260861084241,144.619607943054,2022,regression,male,65-74
female_65-74,1070.54563807781,117.757103822557,2022,regression,female,65-74
male_75-84,1025.45199998338,185.875971581234,2022,regression,male,75-84
female_75-84,1222.36330124355,148.61030146525,2022,regression,female,75-84
male_85+,1157.08284047803,288.631865187365,2022,regression,male,85+
female_85+,1060.03749402566,231.977063006689,2022,regression,female,85+
male_0-4,275.513996459476,74.7566503796227,2024,regression,male,0-4
female_0-4,235.303333986433,81.9794520327345,2024,regression,female,0-4
male_5-14,-134.328335451118,37.8887676894509,2024,regression,male,5-14
female_5-14,-209.153085634643,40.3750465703446,2024,regression,female,5-14
male_15-29,144.549863325737,39.2823570935174,2024,regression,male,15-29
female_15-29,223.135071060882,45.0807045930255,2024,regression,female,15-29
male_30-44,571.957302719355,62.3533241454308,2024,regression,male,30-44
female_30-44,636.747731693611,58.1557849038083,2024,regression,female,30-44
male_45-59,501.691812086019,55.2279218790091,2024,regression,male,45-59
female_45-59,775.066790119084,61.7044868713769,2024,regression,female,45-59
male_60-64,799.17603623856,124.653755816276,2024,regression,male,60-64
female_60-64,801.772038141373,106.962314693195,2024,regression,female,60-64
male_65-74,926.104712454681,143.386185506481,2024,regression,male,65-74
female_65-74,1149.4831899985,139.666335890863,2024,regression,female,65-74
male_75-84,1258.34445379331,236.805163546047,2024,regression,male,75-84
female_75-84,1614.29650117736,221.749365745413,2024,regression,female,75-84
male_85+,2015.62353996358,626.591585012508,2024,regression,male,85+
female_85+,1663.67530460926,386.822686903936,2024,regression,female,85+
