scheme,clave,descripcion,class,rationale
COICOP_2024,061111,Analgésicos (para bajar la fiebre o el dolor),curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,061112,Antibióticos (para tratar infecciones),curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,061113,"Anticonceptivos hormonales: píldoras, parches, inyecciones, etcétera",preventive,hormonal contraception
COICOP_2024,061114,Antigripales,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,061115,Antiinflamatorios,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,061116,Expectorantes: jarabe para la tos o medicamentos descongestivos,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,061117,Insulina y medicamentos para el control de la diabetes,ambiguous,chronic maintenance: insulin / diabetes control
COICOP_2024,061118,Medicamentos antidiarreicos y para el malestar estomacal,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,061119,Medicamentos antihistamínicos (para tratar alergias),curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111A,Medicamentos dermatológicos,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111B,Medicamentos gineco-obstétricos,ambiguous,gyneco-obstetric medicines: treatment vs pregnancy supplementation
COICOP_2024,06111C,Medicamentos nefrológicos y urológicos,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111D,Medicamentos neurológicos,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111E,Medicamentos oftalmológicos,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111F,Medicamentos para el control de peso,ambiguous,weight control
COICOP_2024,06111G,Medicamentos para enfermedades inmunoalérgicas,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111H,Medicamentos para enfermedades psiquiátricas,curative,therapeutic-class medicines (no prescription status in COICOP)
COICOP_2024,06111I,Medicamentos para la presión arterial y cardiovasculares,ambiguous,chronic maintenance: blood pressure / cardiovascular
COICOP_2024,06111J,"Antisépticos: agua oxigenada, merthiolate, alcohol, soluciones asépticas, gel antibacterial, líquido para lentes de contacto, etcétera",ambiguous,antiseptics / first-aid supplies
COICOP_2024,06111K,"Otros medicamentos: vacunas, sueros, oxígeno, etcétera",ambiguous,"mixed rubro: other medicines incl. vaccines, sera, oxygen"
COICOP_2024,06111L,Vitaminas y minerales,ambiguous,vitamins and minerals
COICOP_2024,061120,Productos homeopáticos y naturistas,ambiguous,homeopathic / naturist products
COICOP_2024,061211,Pruebas de embarazo,preventive,pregnancy tests: screening
COICOP_2024,061212,"Otros productos para diagnóstico: termómetro, medidor de glucosa, medidor de presión arterial, báscula para bebé, etcétera",ambiguous,diagnostic products: monitoring devices
COICOP_2024,061221,Preservativos,preventive,"prevention products: condoms, nicotine replacement, protection"
COICOP_2024,061222,"Parches, inhaladores y chicles de nicotina",preventive,"prevention products: condoms, nicotine replacement, protection"
COICOP_2024,061223,"Otros dispositivos y productos de prevención y protección: cubrebocas, guantes, fajas postparto, calcetines para diabéticos y circulación, etcétera",preventive,"prevention products: condoms, nicotine replacement, protection"
COICOP_2024,061230,"Productos y dispositivos de tratamiento para uso personal: inhaladores, jeringas, nebulizadores, compresas de hielo, botiquines de primeros auxilios, etcétera",ambiguous,personal treatment devices incl. first-aid kits
COICOP_2024,061311,Anteojos y lentes de contacto,ambiguous,optical / hearing aids
COICOP_2024,061312,"Otros productos de apoyo para la visión: bastones para débiles visuales, prótesis oculares, etcétera",ambiguous,optical / hearing aids
COICOP_2024,061320,Prótesis auditivas,ambiguous,optical / hearing aids
COICOP_2024,061331,"Aparatos ortopédicos: cinturones ortopédicos, collares cervicales, muletas; andador, andadera, bastones, etcétera",curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061332,"Calzado terapéutico: diabético, neuropático, ortopédico, etcétera",curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061333,"Dispositivos médicos de soporte (ortesis): férula u otro dispositivo externo artificial que sirva para sostener la pierna, la columna, el cuello, la mano, etcétera",curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061334,"Dispositivos y productos de asistencia: sillas para ducha y baño, pasamanos y barandales, barras de apoyo y seguridad, rampas, etcétera",curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061335,Prótesis,curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061336,Sillas de ruedas (con y sin motor) y camas especiales,curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061337,Vehículos para personas con discapacidad: adaptación del vehículo,curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061338,"Otros productos de apoyo: productos para la incontinencia, pañales para adulto, etcétera",curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061401,Reparación y mantenimiento de productos médicos y auxiliares,curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,061402,Alquiler de productos médicos y auxiliares,curative,orthopedic/assistive/rehab devices for realized conditions
COICOP_2024,062110,Servicios de inmunización y vacunación,preventive,immunization and vaccination services
COICOP_2024,062191,"Consulta médica con especialistas: pediatría, ginecología, cardiología, ortopedia, oftalmología, etcétera",curative,"medical consultations: motive unobservable, predominantly illness-driven (stated judgment)"
COICOP_2024,062192,Consulta médica con especialistas durante el embarazo,preventive,prenatal consultations: scheduled monitoring
COICOP_2024,062193,Consulta médica general,curative,"medical consultations: motive unobservable, predominantly illness-driven (stated judgment)"
COICOP_2024,062194,Consulta médica general durante el embarazo,preventive,prenatal consultations: scheduled monitoring
COICOP_2024,062195,Consultas homeopáticas,ambiguous,alternative / other practitioners
COICOP_2024,062196,"Servicio de practicantes de medicina tradicional: curandero, yerbero, huesero, etcétera",ambiguous,alternative / other practitioners
COICOP_2024,062197,"Otros servicios médicos: acupunturistas, optometristas, fonoaudiólogos independientes, logopedas, etcétera",ambiguous,alternative / other practitioners
COICOP_2024,062198,Servicios de partera,ambiguous,midwife services: delivery vs prenatal not distinguished
COICOP_2024,062210,Consultas dentales,ambiguous,dental
COICOP_2024,062291,Servicios de especialistas en ortodoncia,ambiguous,dental
COICOP_2024,062292,"Otros servicios dentales: colocación de dentaduras postizas, prótesis dentales, etcétera",ambiguous,dental
COICOP_2024,062311,Servicios curativos,curative,curative / rehabilitation / nursing / assistance services
COICOP_2024,062312,Servicios de rehabilitación y terapia,curative,curative / rehabilitation / nursing / assistance services
COICOP_2024,062313,Baños termales y terapia de gimnasia correctiva,ambiguous,thermal baths / corrective gymnastics
COICOP_2024,062321,Servicios de enfermeras independientes,curative,curative / rehabilitation / nursing / assistance services
COICOP_2024,062322,Servicios de asistencia y cuidado personal,curative,curative / rehabilitation / nursing / assistance services
COICOP_2024,062323,Centros de asistencia,curative,curative / rehabilitation / nursing / assistance services
COICOP_2024,063101,Hospitalización general,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,063102,Intervenciones quirúrgicas,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,063103,Hospitalización durante el embarazo,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,063104,Hospitalización durante el parto,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,063105,Hospitalización general en hospitales especializados,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,063106,Intervenciones quirúrgicas en hospitales especializados,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,063200,Hospitalización general en hospitales de salud mental,curative,hospitalization / surgery (incl. pregnancy and delivery inpatient)
COICOP_2024,064101,Servicios de laboratorio de análisis clínicos,ambiguous,laboratory / imaging: screening vs workup not observable
COICOP_2024,064102,"Servicios de rayos X y estudios de gabinete: tomografía, resonancia magnética, ecografía, ultrasonido, etcétera",ambiguous,laboratory / imaging: screening vs workup not observable
COICOP_2024,064103,Servicios de laboratorio de análisis clínicos y ultrasonido durante el embarazo,preventive,prenatal laboratory / ultrasound: scheduled monitoring
COICOP_2024,064201,Servicios paramédicos y de ambulancia para pacientes en general,curative,paramedic / ambulance services
COICOP_2024,064202,Servicios paramédicos y de ambulancia durante el embarazo,curative,paramedic / ambulance services
COICOP_2024,121201,Seguro de gastos médicos,ambiguous,"medical insurance premiums: financing, not care"
COICOP_2024,121202,Seguro médico voluntario (IMSS),ambiguous,"medical insurance premiums: financing, not care"
J_2018_2022,J001,"Honorarios por servicios profesionales: cirugía, anestesia, etcétera, durante el parto",curative,delivery (parto): realized-event hospital/professional services
J_2018_2022,J002,"Hospitalización, durante el parto",curative,delivery (parto): realized-event hospital/professional services
J_2018_2022,J003,"Análisis clínicos y estudios médicos: Rayos X, ultrasonido, etcétera, durante el parto",curative,delivery (parto): realized-event hospital/professional services
J_2018_2022,J004,"Medicamentos recetados y material de curación, durante el parto",curative,delivery (parto): realized-event hospital/professional services
J_2018_2022,J005,"Servicios de partera, durante el parto",curative,delivery (parto): realized-event hospital/professional services
