decile,class,w,share,year
9,curative,3848703968.48306,0.595329534306683,2018
3,curative,1169255749.92448,0.66450820844434,2018
7,curative,2241578075.34463,0.645095103529628,2018
10,curative,6519280132.40074,0.521017213345331,2018
6,curative,1716824106.24582,0.642901508602183,2018
8,curative,2685207150.46073,0.628834574959181,2018
2,curative,1086118669.21623,0.649093194517129,2018
4,curative,1324726311.46046,0.632767504174821,2018
5,curative,1779750877.12169,0.659377096005717,2018
1,curative,735509116.591932,0.604055192174447,2018
8,preventive,121149252.647143,0.0283713078828637,2018
5,preventive,73866796.360331,0.0273667929042354,2018
9,preventive,193737874.480819,0.0299679787109457,2018
6,preventive,108903625.294994,0.0407812918863885,2018
4,preventive,58001945.4516406,0.0277051538443866,2018
10,preventive,213688643.940287,0.0170778766256684,2018
2,preventive,45703498.631825,0.0273136175340288,2018
1,preventive,26194184.4197778,0.0215126267596223,2018
7,preventive,96660532.08652,0.0278175614935901,2018
3,preventive,42919414.9714927,0.0243918437450727,2018
2,ambiguous,541464007.990243,0.323593187948842,2018
4,ambiguous,710815268.506462,0.339527341980793,2018
8,ambiguous,1463776406.67764,0.342794117157955,2018
9,ambiguous,2422387712.25925,0.374702486982372,2018
6,ambiguous,844703249.370387,0.316317199511429,2018
10,ambiguous,5779631509.05445,0.461904910029001,2018
5,ambiguous,845521996.219609,0.313256111090047,2018
3,ambiguous,547405431.800931,0.311099947810588,2018
7,ambiguous,1136563887.70464,0.327087334976782,2018
1,ambiguous,455915761.154256,0.374432181065931,2018
8,curative,3776320481.89113,0.592273127687891,2020
10,curative,7967791844.53589,0.474832747209631,2020
4,curative,2119253700.05226,0.60676435237642,2020
7,curative,3252241005.22826,0.609839182552392,2020
6,curative,2751787855.39631,0.60274110878695,2020
9,curative,5042860672.53957,0.576255899711455,2020
2,curative,1386654451.17405,0.568406319433604,2020
5,curative,2486601271.50817,0.611679897232085,2020
3,curative,1657039102.5059,0.580042225118309,2020
1,curative,1438954058.27064,0.644605282981521,2020
7,preventive,145893026.776571,0.027356916060799,2020
8,preventive,172494159.147979,0.0270537565962369,2020
4,preventive,88339524.67809,0.0252925237215443,2020
9,preventive,156304763.071998,0.017861199767766,2020
10,preventive,264416616.329372,0.0157576491441166,2020
5,preventive,107342237.537873,0.0264051537245475,2020
6,preventive,102201551.93673,0.0223858378520316,2020
2,preventive,43504585.9817068,0.0178330524777876,2020
3,preventive,50959833.1937182,0.0178383569782035,2020
1,preventive,50604591.3615642,0.0226692344674218,2020
6,ambiguous,1711466333.58106,0.374873053361018,2020
4,ambiguous,1285119706.99035,0.367943123902036,2020
7,ambiguous,1934814552.27026,0.362803901386809,2020
5,ambiguous,1471256741.54303,0.361914949043368,2020
10,ambiguous,8547998657.02808,0.509409603646253,2020
3,ambiguous,1148757056.79372,0.402119417903488,2020
9,ambiguous,3551913165.17091,0.405882900520779,2020
8,ambiguous,2427163442.97947,0.380673115715872,2020
1,ambiguous,742743964.480706,0.332725482551058,2020
2,ambiguous,1009388877.36391,0.413760628088608,2020
10,curative,8967775528.61898,0.500822266443059,2022
7,curative,2956917882.42737,0.626352284946337,2022
2,curative,1547646516.49294,0.628849525854086,2022
9,curative,4565389973.84339,0.596384261113369,2022
6,curative,2617035094.95468,0.59678886323263,2022
4,curative,1812027218.69539,0.605323911833579,2022
8,curative,3899292930.18246,0.603012445314456,2022
5,curative,2196537453.74757,0.622538765008538,2022
1,curative,1445961676.31913,0.628133132705702,2022
3,curative,1605861252.60763,0.602477489647376,2022
4,preventive,102299747.73331,0.0341741464138157,2022
