"pais","iso3","anio","indicador","codigo_indicador","tipo","modelo","valor","unidad","cobertura_institucional","fuente","nota"
"Brasil","BRA",2001,"Balance primario","GGXONLB_NGDP","Observado",NA,3.13,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2002,"Balance primario","GGXONLB_NGDP","Observado",NA,3.356,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2003,"Balance primario","GGXONLB_NGDP","Observado",NA,3.553,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2004,"Balance primario","GGXONLB_NGDP","Observado",NA,4.051,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2005,"Balance primario","GGXONLB_NGDP","Observado",NA,3.865,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2006,"Balance primario","GGXONLB_NGDP","Observado",NA,1.507,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2007,"Balance primario","GGXONLB_NGDP","Observado",NA,2.88,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2008,"Balance primario","GGXONLB_NGDP","Observado",NA,3.213,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2009,"Balance primario","GGXONLB_NGDP","Observado",NA,0.912,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2010,"Balance primario","GGXONLB_NGDP","Observado",NA,1.58,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2011,"Balance primario","GGXONLB_NGDP","Observado",NA,2.737,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
"Brasil","BRA",2012,"Balance primario","GGXONLB_NGDP","Observado",NA,2.221,"% del PIB","Gobierno general","FMI, World Economic Outlook, abril 2025",NA
