"Campo","Descripción"
"pais","Nombre del país"
"iso3","Código ISO 3166-1 alfa-3"
"anio","Año de referencia"
"indicador","Nombre del indicador"
"codigo_indicador","Código de la serie en la fuente original"
"tipo","Observado | Estimación de la fuente | Proyección de la fuente | Proyección propia"
"modelo","Especificación empleada; vacío salvo en proyección propia"
"valor","Valor del indicador"
"unidad","Unidad de medida"
"cobertura_institucional","Perímetro institucional del dato"
"fuente","Fuente primaria"
"nota","Advertencia de construcción o comparabilidad, cuando aplica"
"ADVERTENCIA DE USO","Las proyecciones de gasto en salud y pensiones (tipo = 'Proyección propia') se re-estimaron en el Producto 4 (Opción 1: ventana de validación 2016-2019, anterior al choque de 2020). Tras la corrección 2 serie(s) siguen excediendo el rango histórico y conservan advertencia textual. Las series con MASE > 2 respecto del método ingenuo (Chile: ingresos del gobierno general; Costa Rica: ingresos del gobierno general; Brasil: balance primario; Chile: balance primario; Costa Rica: balance primario; Panamá: balance primario; Costa Rica: deuda neta del gobierno general; Colombia: gasto público en salud; México: gasto público en salud; Brasil: gasto público en pensiones) se conservan en la base marcadas como no informativas y no deben citarse como estimación puntual. El balance primario no se grafica: es estacionario y su extrapolación univariada no aporta información más allá de su media. Las series 'Crecimiento nominal del PIB' y 'Balance fiscal global' se incorporaron del WEO abril 2025 para el cálculo del diferencial (r - g) de la Sección 6."
