Indicador,pais,n,Modelo,RMSE,MASE,LjungBox,ventana,test_ini,test_fin,hist_min,hist_max,ultimo,fin_proy,excede,boxcox_retirado,informativa
Ingresos del gobierno general,Brasil,24,ETS,1.704,1.13,0.657,P3,2021,2024,34.542,40.346,38.833,37.13861047792867,FALSE,FALSE,TRUE
Ingresos del gobierno general,Chile,25,ARIMA,3.097,2.24,0.961,P3,2021,2024,20.717,28.085,23.74,23.719700462817595,FALSE,FALSE,FALSE
Ingresos del gobierno general,Colombia,25,ETS,2.476,1.63,0.233,P3,2021,2024,23.642,32.224,28.212,28.96334737883132,FALSE,FALSE,TRUE
Ingresos del gobierno general,Costa Rica,25,ETS,1.644,2.89,0.988,P3,2021,2024,12.946,16.383,15.087,15.205554682388414,FALSE,FALSE,FALSE
Ingresos del gobierno general,México,25,ETS,0.696,0.77,0.406,P3,2021,2024,16.701,25.821,24.645,24.005661884978554,FALSE,FALSE,TRUE
Ingresos del gobierno general,Panamá,25,Holt amortiguado,0.744,0.49,0.638,P3,2021,2024,15.522,24.943,15.522,15.489649654997322,FALSE,FALSE,TRUE
Balance primario,Brasil,24,Holt amortiguado,5.358,4.23,0.866,P3,2021,2024,-7.536,4.051,-0.335,-3.0630295592970587,FALSE,FALSE,FALSE
Balance primario,Chile,25,Holt amortiguado,5.329,2.37,0.696,P3,2021,2024,-6.903,7.77,-1.977,-1.9149295643946467,FALSE,FALSE,FALSE
Balance primario,Colombia,25,ETS,2.153,1.63,0.498,P3,2021,2024,-4.39,2.2,-0.802,-0.8091198496515727,FALSE,FALSE,TRUE
Balance primario,Costa Rica,25,ETS,4.928,5.59,0.922,P3,2021,2024,-3.749,3.58,1.06,1.0600491893078363,FALSE,FALSE,FALSE
Balance primario,México,25,Holt amortiguado,0.555,0.53,0.312,P3,2021,2024,-1.684,2.546,0.199,0.4680206537741995,FALSE,FALSE,TRUE
Balance primario,Panamá,25,ETS,5.025,3.26,0.134,P3,2021,2024,-7.994,5.818,-4.469,-6.850495692111014,FALSE,FALSE,FALSE
Deuda neta del gobierno general,Brasil,24,ARIMA,3.904,0.95,0.623,P3,2021,2024,30.504,61.481,61.481,54.30417849623963,FALSE,FALSE,TRUE
Deuda neta del gobierno general,Chile,25,Holt amortiguado,3.099,0.89,0.4,P3,2021,2024,-19.265,25.767,25.767,33.406600748656224,FALSE,FALSE,TRUE
Deuda neta del gobierno general,Colombia,25,ETS,3.22,0.66,0.284,P3,2021,2024,22.432,54.77,53.175,53.17448598178521,FALSE,TRUE,TRUE
Deuda neta del gobierno general,Costa Rica,14,Holt amortiguado,36.586,7.38,0.534,P3,2021,2024,28.82,66.924,58.946,67.28601612243183,FALSE,TRUE,FALSE
Deuda neta del gobierno general,México,25,ETS,2.299,1.01,0.441,P3,2021,2024,27.513,51.382,51.382,51.381503626727856,FALSE,FALSE,TRUE
Deuda neta del gobierno general,Panamá,25,ETS,3.48,0.77,0.631,P3,2021,2024,17.119,41.269,40.21,40.209417147261846,FALSE,TRUE,TRUE
Gasto público en salud,Brasil,31,Holt amortiguado,0.188,1.49,0.657,pre2020,2016,2019,1.3764,2.675,2.675,2.7640201153622828,FALSE,FALSE,TRUE
Gasto público en salud,Chile,31,ARIMA,0.21,1.28,0.441,pre2020,2016,2019,1.7474,6.0301,6.0301,12.527658005330846,TRUE,FALSE,TRUE
Gasto público en salud,Colombia,30,ETS,0.355,2.28,0.83,pre2020,2016,2019,0.4777,3.2413,3.2413,3.55213526358134,FALSE,FALSE,FALSE
Gasto público en salud,Costa Rica,28,ETS,0.025,0.27,0.273,pre2020,2016,2019,0.25,0.8472,0.6902,0.7239249291799509,FALSE,FALSE,TRUE
Gasto público en salud,México,22,ETS,0.131,2.09,0.83,pre2020,2016,2019,0.5303,1.2529,1.2408,1.646338403022952,TRUE,TRUE,FALSE
Gasto público en salud,Panamá,18,ETS,0.176,0.55,0.967,pre2020,2014,2017,1.5618,2.396,1.7189,1.8905725663411372,FALSE,FALSE,TRUE
Gasto público en pensiones,Brasil,21,ARIMA,1.019,2.6,0.42,pre2020,2016,2019,6.4731,9.1756,8.8274,8.18415727203171,FALSE,FALSE,FALSE
Gasto público en pensiones,Chile,31,Holt amortiguado,0.066,0.25,0.456,pre2020,2016,2019,3.6505,6.3852,4.1679,4.34916720477099,FALSE,FALSE,TRUE
Gasto público en pensiones,Colombia,14,ARIMA,0.405,1.57,0.783,pre2020,2016,2019,3.747,4.6566,3.747,3.7469999999999994,FALSE,FALSE,TRUE
Gasto público en pensiones,Costa Rica,15,Holt amortiguado,0.098,1,0.742,pre2020,2016,2019,2.4337,3.0912,3.064,3.09407408829365,FALSE,FALSE,TRUE
Gasto público en pensiones,México,22,Holt amortiguado,0.063,0.35,0.448,pre2020,2016,2019,0.1496,3.0101,3.0101,2.988354881567864,FALSE,FALSE,TRUE
Gasto público en pensiones,Panamá,14,ETS,0.065,0.78,0.952,pre2020,2014,2017,0.0094,0.5721,0.501,0.5009968526766571,FALSE,FALSE,TRUE
