pais,iso3,anio,indicador,codigo_indicador,tipo,modelo,valor,unidad,cobertura_institucional,fuente,nota
Brasil,BRA,2001,Crecimiento nominal del PIB,NGDP,Observado,,9.7293,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2002,Crecimiento nominal del PIB,NGDP,Observado,,13.1508,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2003,Crecimiento nominal del PIB,NGDP,Observado,,15.3926,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2004,Crecimiento nominal del PIB,NGDP,Observado,,13.9584,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2005,Crecimiento nominal del PIB,NGDP,Observado,,10.8714,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2006,Crecimiento nominal del PIB,NGDP,Observado,,11.0047,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2007,Crecimiento nominal del PIB,NGDP,Observado,,12.8997,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2008,Crecimiento nominal del PIB,NGDP,Observado,,14.3199,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2009,Crecimiento nominal del PIB,NGDP,Observado,,7.1785,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2010,Crecimiento nominal del PIB,NGDP,Observado,,16.5857,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2011,Crecimiento nominal del PIB,NGDP,Observado,,12.6236,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2012,Crecimiento nominal del PIB,NGDP,Observado,,10.0169,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2013,Crecimiento nominal del PIB,NGDP,Observado,,10.7349,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2014,Crecimiento nominal del PIB,NGDP,Observado,,8.3902,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2015,Crecimiento nominal del PIB,NGDP,Observado,,3.7521,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2016,Crecimiento nominal del PIB,NGDP,Observado,,4.5622,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2017,Crecimiento nominal del PIB,NGDP,Observado,,5.0428,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2018,Crecimiento nominal del PIB,NGDP,Observado,,6.3574,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2019,Crecimiento nominal del PIB,NGDP,Observado,,5.4966,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2020,Crecimiento nominal del PIB,NGDP,Observado,,2.9837,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2021,Crecimiento nominal del PIB,NGDP,Observado,,18.4313,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2022,Crecimiento nominal del PIB,NGDP,Observado,,11.8455,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2023,Crecimiento nominal del PIB,NGDP,Observado,,8.5684,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2024,Crecimiento nominal del PIB,NGDP,Observado,,7.3229,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
Brasil,BRA,2001,Balance fiscal global,GGXCNL_NGDP,Observado,,-3.468,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2002,Balance fiscal global,GGXCNL_NGDP,Observado,,-4.149,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2003,Balance fiscal global,GGXCNL_NGDP,Observado,,-5.401,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2004,Balance fiscal global,GGXCNL_NGDP,Observado,,-2.955,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2005,Balance fiscal global,GGXCNL_NGDP,Observado,,-3.364,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2006,Balance fiscal global,GGXCNL_NGDP,Observado,,-4.868,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2007,Balance fiscal global,GGXCNL_NGDP,Observado,,-2.66,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2008,Balance fiscal global,GGXCNL_NGDP,Observado,,-2.393,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2009,Balance fiscal global,GGXCNL_NGDP,Observado,,-4.23,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2010,Balance fiscal global,GGXCNL_NGDP,Observado,,-3.554,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2011,Balance fiscal global,GGXCNL_NGDP,Observado,,-2.741,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2012,Balance fiscal global,GGXCNL_NGDP,Observado,,-2.351,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2013,Balance fiscal global,GGXCNL_NGDP,Observado,,-3.422,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2014,Balance fiscal global,GGXCNL_NGDP,Observado,,-6.275,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2015,Balance fiscal global,GGXCNL_NGDP,Observado,,-9.281,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2016,Balance fiscal global,GGXCNL_NGDP,Observado,,-7.991,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2017,Balance fiscal global,GGXCNL_NGDP,Observado,,-7.97,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2018,Balance fiscal global,GGXCNL_NGDP,Observado,,-6.99,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2019,Balance fiscal global,GGXCNL_NGDP,Observado,,-4.859,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2020,Balance fiscal global,GGXCNL_NGDP,Observado,,-11.637,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2021,Balance fiscal global,GGXCNL_NGDP,Observado,,-2.631,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2022,Balance fiscal global,GGXCNL_NGDP,Observado,,-3.965,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2023,Balance fiscal global,GGXCNL_NGDP,Observado,,-7.712,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Brasil,BRA,2024,Balance fiscal global,GGXCNL_NGDP,Estimación de la fuente,,-6.626,% del PIB,Gobierno general,"FMI, World Economic Outlook, abril 2025",Préstamo/endeudamiento neto; la diferencia con el balance primario es el pago neto de intereses
Chile,CHL,2001,Crecimiento nominal del PIB,NGDP,Observado,,7.5661,"% (variación anual, moneda nacional a precios corrientes)",Nacional,"FMI, World Economic Outlook, abril 2025",Calculado como variación del PIB nominal en moneda nacional (serie NGDP)
