WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	Estimates Start After	Unnamed: 61
223	BRA	NGDP_RPCH	Brazil	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	9.190	-4.400	0.596	-3.400	5.307	7.901	7.544	3.601	0.264	3.200	-4.168	1.031	-0.467	4.665	5.334	4.417	2.209	3.395	0.338	0.468	4.388	1.390	3.053	1.141	5.760	3.202	3.962	6.070	5.094	-0.126	7.528	3.974	1.921	3.005	0.504	-3.546	-3.276	1.323	1.784	1.221	-3.277	4.763	3.017	3.242	3.396	2.010	1.984	2.193	2.305	2.432	2.488	2024	
223	BRA	NGDP	Brazil	Gross domestic product, current prices	Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	National currency	Billions	Source: National Statistics Office Latest actual data: 2024 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Brazilian real Data last updated: 04/08/2025	--	--	--	--	--	--	--	--	--	--	0.011	0.059	0.628	13.804	349.382	705.992	854.763	952.089	1,002.351	1,087.711	1,199.093	1,315.756	1,488.788	1,717.951	1,957.750	2,170.584	2,409.450	2,720.263	3,109.803	3,333.039	3,885.847	4,376.382	4,814.760	5,331.619	5,778.953	5,995.787	6,269.327	6,585.479	7,004.141	7,389.131	7,609.597	9,012.142	10,079.676	10,943.344	11,744.709	12,407.325	13,112.783	13,867.603	14,686.353	15,570.093	16,513.537	2024	
223	BRA	NGDP_D	Brazil	Gross domestic product, deflator	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.	Index	Units	See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).	--	--	--	--	--	--	--	--	--	--	0.002	0.010	0.102	2.151	51.674	100.000	118.456	127.612	133.896	144.622	152.729	165.291	181.487	207.060	223.111	239.691	255.929	272.408	296.321	317.993	344.778	373.459	403.124	433.376	467.382	502.745	543.485	563.439	588.757	613.628	653.344	738.588	801.887	843.262	875.289	906.450	939.356	972.113	1,006.309	1,041.532	1,077.825	2024	
223	BRA	PCPIPCH	Brazil	Inflation, average consumer prices	Annual percentages of average consumer prices are year-on-year changes.	Percent change	Units	See notes for:  Inflation, average consumer prices (Index).	90.227	101.737	100.574	135.020	192.121	226.029	147.137	228.327	629.118	1,430.724	2,947.733	432.772	951.956	1,927.381	2,075.827	66.008	15.757	6.926	3.196	4.859	7.044	6.840	8.450	14.714	6.598	6.870	4.184	3.641	5.678	4.888	5.039	6.636	5.404	6.204	6.329	9.030	8.740	3.446	3.665	3.733	3.212	8.302	9.280	4.594	4.367	5.307	4.315	3.386	2.964	2.964	2.964	2024	
223	BRA	GGR_NGDP	Brazil	General government revenue	Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.	Percent of GDP	Units	See notes for:  General government revenue (National currency).																						36.334	40.346	35.887	36.726	38.507	37.694	37.692	37.523	36.306	35.962	36.626	36.958	36.358	35.151	36.909	37.512	36.328	37.191	38.184	34.542	37.740	39.481	37.597	38.833	39.184	39.246	39.233	39.252	39.301	39.302	2023	
223	BRA	GGX_NGDP	Brazil	General government total expenditure	Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.	Percent of GDP	Units	See notes for:  General government total expenditure (National currency).																						39.802	44.495	41.288	39.681	41.870	42.563	40.352	39.916	40.537	39.516	39.367	39.310	39.780	41.426	46.191	45.503	44.297	44.181	43.043	46.178	40.371	43.445	45.309	45.459	47.699	46.912	45.501	44.435	44.152	43.993	2023	
223	BRA	GGXCNL_NGDP	Brazil	General government net lending/borrowing	Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.	Percent of GDP	Units	See notes for:  General government net lending/borrowing (National currency).																						-3.468	-4.149	-5.401	-2.955	-3.364	-4.868	-2.660	-2.393	-4.230	-3.554	-2.741	-2.351	-3.422	-6.275	-9.281	-7.991	-7.970	-6.990	-4.859	-11.637	-2.631	-3.965	-7.712	-6.626	-8.516	-7.667	-6.268	-5.183	-4.852	-4.691	2023	
223	BRA	GGXONLB_NGDP	Brazil	General government primary net lending/borrowing	Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).	Percent of GDP	Units	See notes for:  General government primary net lending/borrowing (National currency).																						3.130	3.356	3.553	4.051	3.865	1.507	2.880	3.213	0.912	1.580	2.737	2.221	1.520	-0.900	-0.853	-2.008	-1.625	-0.867	-0.083	-7.536	1.979	1.307	-2.149	-0.335	-0.593	-0.355	0.253	0.786	1.183	1.393	2023	
223	BRA	GGXWDN_NGDP	Brazil	General government net debt	Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.	Percent of GDP	Units	See notes for:  General government net debt (National currency).																						51.486	59.934	54.259	50.186	47.915	46.486	44.546	37.566	40.885	37.979	34.470	32.194	30.504	32.586	35.640	46.144	51.370	52.766	54.699	61.370	55.114	56.133	60.428	61.481	65.804	70.346	72.834	74.178	74.829	74.473	2023	
223	BRA	GGXWDG_NGDP	Brazil	General government gross debt	Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).	Percent of GDP	Units	See notes for:  General government gross debt (National currency).																					62.198	67.331	76.095	71.514	68.025	66.969	64.599	63.025	61.420	64.702	62.433	60.634	61.614	59.595	61.617	71.730	77.422	82.745	84.777	87.118	96.007	88.934	83.939	84.001	87.284	92.041	96.008	98.132	99.120	99.436	99.420	2023	
