variant,sex,group,cpv2020_aged_net,eic2025,eic_minus_aged,pct,emigrants_subtracted
prorated,M,65-69,2050942.6,2220836.3,169893.8,8.3,2600.0
prorated,M,70-74,1502584.2,1567788.0,65203.9,4.3,1300.0
prorated,M,75+,2137851.0,2185652.0,47801.0,2.2,2600.0
prorated,M,65+,5691377.7,5974276.4,282898.7,5.0,6500.0
prorated,F,65-69,2411755.5,2610305.0,198549.5,8.2,2600.0
prorated,F,70-74,1785439.9,1841599.4,56159.5,3.1,2600.0
prorated,F,75+,2619238.2,2807686.5,188448.3,7.2,3900.0
prorated,F,65+,6816433.6,7259590.9,443157.3,6.5,9100.0
reported,M,65-69,2046392.9,2220836.3,174443.4,8.5,2600.0
reported,M,70-74,1499252.3,1567788.0,68535.7,4.6,1300.0
reported,M,75+,2133108.8,2185652.0,52543.2,2.5,2600.0
reported,M,65+,5678754.1,5974276.4,295522.3,5.2,6500.0
reported,F,65-69,2406623.4,2610305.0,203681.6,8.5,2600.0
reported,F,70-74,1781639.2,1841599.4,59960.2,3.4,2600.0
reported,F,75+,2613662.3,2807686.5,194024.2,7.4,3900.0
reported,F,65+,6801924.8,7259590.9,457666.1,6.7,9100.0
prorated,T,65+,12507811.4,13233867.3,726056.0,5.8,15600.0
prorated,T,65-69,4462698.1,4831141.3,368443.3,8.3,5200.0
prorated,T,70-74,3288024.1,3409387.4,121363.3,3.7,3900.0
prorated,T,75+,4757089.2,4993338.6,236249.4,5.0,6500.0
reported,T,65+,12480678.9,13233867.3,753188.4,6.0,15600.0
reported,T,65-69,4453016.3,4831141.3,378125.0,8.5,5200.0
reported,T,70-74,3280891.5,3409387.4,128496.0,3.9,3900.0
reported,T,75+,4746771.1,4993338.6,246567.4,5.2,6500.0
