CVE_ENT,NOM_ENT,ESTIMADOR,POBTOT,POBFEM,POBMAS,POB0_14,POB15_64,POB65_MAS,P_15A49_F,MEDIANA_POBTOT,INDICE_ENV,RAZON_DEP_TOT,RAZON_DEP_INF,RAZON_DEP_VEJ,PROM_HNV,TGF,PCN_P12YM_SOLT,PCN_P12YM_SOLT_F,PCN_P12YM_CUL,PCN_P12YM_CUL_F,PCN_P12YM_SEPA,PCN_P12YM_SEPA_F,PCN_PRESEUA20
00,Estados Unidos Mexicanos,Valor,130393389,67678902,62714487,28124921,89055344,13194535,35332579,31.89,68.22,46.40,31.58,14.82,1.93,1.23,36.19,33.53,50.22,48.42,13.49,17.93,0.27
00,Estados Unidos Mexicanos,Error estándar,498654.44,258240.33,242799.72,108530.09,358641.57,58612.75,143637.97,0.03,0.28,0.07,0.06,0.06,0.00,0.01,0.03,0.04,0.04,0.05,0.03,0.04,0.00
00,Estados Unidos Mexicanos,Límite inferior de confianza,129573174.34,67254133.86,62315116.45,27946404.61,88465430.3,13098125.43,35096315.21,31.83,67.76,46.28,31.48,14.72,1.93,1.22,36.13,33.46,50.15,48.34,13.44,17.87,0.27
00,Estados Unidos Mexicanos,Límite superior de confianza,131213603.66,68103670.14,63113857.55,28303437.39,89645257.7,13290944.57,35568842.79,31.94,68.68,46.52,31.68,14.91,1.94,1.24,36.24,33.60,50.29,48.50,13.53,18.00,0.28
00,Estados Unidos Mexicanos,Coeficiente de variación,0.38,0.38,0.39,0.39,0.4,0.44,0.41,0.10,0.41,0.16,0.19,0.38,0.12,0.47,0.10,0.13,0.08,0.10,0.22,0.22,1.28
01,Aguascalientes,Valor,1534416,798001,736415,361155,1039067,134194,419710,29.76,55.17,47.67,34.76,12.91,1.98,1.20,38.31,36.22,49.65,47.95,12.00,15.79,0.44
01,Aguascalientes,Error estándar,58302.68,30289.64,28446.89,15974.73,40774.87,7975.01,16881.03,0.38,3.76,0.79,0.76,0.79,0.03,0.06,0.32,0.39,0.44,0.55,0.37,0.48,0.04
01,Aguascalientes,Límite inferior de confianza,1438496.15,748168.17,689613.97,334872.67,971983.83,121072.27,391936.91,29.14,48.99,46.38,33.51,11.61,1.93,1.09,37.79,35.58,48.93,47.05,11.40,15.01,0.38
01,Aguascalientes,Límite superior de confianza,1630335.85,847833.83,783216.03,387437.33,1106150.17,147315.73,447483.09,30.38,61.35,48.97,36.01,14.21,2.02,1.30,38.84,36.87,50.38,48.85,12.62,16.60,0.52
01,Aguascalientes,Coeficiente de variación,3.8,3.8,3.86,4.42,3.92,5.94,4.02,1.27,6.81,1.65,2.19,6.12,1.34,5.27,0.84,1.08,0.89,1.14,3.08,3.06,9.63
02,Baja California,Valor,3978593,2008265,1970328,808342,2855331,314885,1103155,31.41,60.64,39.34,28.31,11.03,1.75,1.04,35.87,31.88,48.93,48.42,15.13,19.63,0.73
02,Baja California,Error estándar,158193.26,78764.61,79909.34,33265.5,116832.8,14817.98,46183.29,0.27,2.56,0.55,0.50,0.44,0.02,0.06,0.31,0.40,0.40,0.42,0.32,0.43,0.06
02,Baja California,Límite inferior de confianza,3718333.39,1878680.16,1838860.81,753610.49,2663116.2,290504.17,1027171.67,30.96,56.42,38.44,27.48,10.31,1.72,0.95,35.36,31.22,48.28,47.72,14.61,18.94,0.64
02,Baja California,Límite superior de confianza,4238852.61,2137849.84,2101795.19,863073.51,3047545.8,339265.83,1179138.33,31.85,64.86,40.24,29.14,11.75,1.78,1.13,36.38,32.54,49.58,49.12,15.67,20.34,0.84
02,Baja California,Coeficiente de variación,3.98,3.92,4.06,4.12,4.09,4.71,4.19,0.86,4.23,1.39,1.78,3.98,0.95,5.31,0.87,1.27,0.81,0.88,2.12,2.18,8.26
03,Baja California Sur,Valor,955465,476192,479273,198869,683995,72569,267095,31.37,56.99,39.68,29.07,10.61,1.76,1.20,35.31,31.79,51.45,51.12,12.85,16.73,0.36
03,Baja California Sur,Error estándar,18928.22,9800.17,9431.19,4829.37,13878.65,2035.8,5909.48,0.21,1.93,0.49,0.47,0.32,0.01,0.06,0.26,0.36,0.32,0.40,0.24,0.35,0.04
03,Baja California Sur,Límite inferior de confianza,924322.96,460067.86,463756.08,190922.59,661160.62,69219.08,257371.78,31.01,53.81,38.88,28.30,10.08,1.74,1.11,34.88,31.20,50.93,50.46,12.46,16.17,0.30
03,Baja California Sur,Límite superior de confianza,986607.04,492316.14,494789.92,206815.41,706829.38,75918.92,276818.22,31.72,60.17,40.49,29.85,11.14,1.78,1.29,35.74,32.38,51.98,51.77,13.26,17.31,0.43
03,Baja California Sur,Coeficiente de variación,1.98,2.06,1.97,2.43,2.03,2.81,2.21,0.68,3.39,1.23,1.62,3.03,0.85,4.60,0.74,1.13,0.62,0.78,1.89,2.08,10.84
04,Campeche,Valor,967098,497706,469392,216883,657362,92853,259737,31.82,63.54,47.12,32.99,14.13,2.01,1.23,33.10,30.34,53.98,52.43,12.87,17.17,0.10
04,Campeche,Error estándar,23805.58,12248.71,11697.16,4650.45,17112.95,3246.19,6177.48,0.20,1.83,0.48,0.44,0.34,0.01,0.04,0.23,0.28,0.29,0.33,0.19,0.28,0.01
