assumptions,scenario,year,population,ydr,oadr,tdr
eic2025_improving_mortality_net_migration,optimistic,2025,130911314,31.59,14.81,46.4
eic2025_improving_mortality_net_migration,optimistic,2030,133898098,28.35,17.4,45.74
eic2025_improving_mortality_net_migration,optimistic,2035,136135021,26.8,20.13,46.92
eic2025_improving_mortality_net_migration,optimistic,2040,137618026,28.44,24.57,53.01
eic2025_improving_mortality_net_migration,optimistic,2045,138064774,27.7,28.05,55.74
eic2025_improving_mortality_net_migration,optimistic,2050,137422198,26.73,31.76,58.49
eic2025_improving_mortality_net_migration,tempo,2025,130911314,31.59,14.81,46.4
eic2025_improving_mortality_net_migration,tempo,2030,132822737,27.18,17.4,44.57
eic2025_improving_mortality_net_migration,tempo,2035,134254540,24.77,20.13,44.89
eic2025_improving_mortality_net_migration,tempo,2040,135067294,25.6,24.57,50.17
eic2025_improving_mortality_net_migration,tempo,2045,134985776,25.72,28.39,54.11
eic2025_improving_mortality_net_migration,tempo,2050,133825550,25.26,32.45,57.71
eic2025_improving_mortality_net_migration,central,2025,130911314,31.59,14.81,46.4
eic2025_improving_mortality_net_migration,central,2030,132335707,26.65,17.4,44.04
eic2025_improving_mortality_net_migration,central,2035,133287292,23.72,20.13,43.85
eic2025_improving_mortality_net_migration,central,2040,133628152,24.0,24.57,48.57
eic2025_improving_mortality_net_migration,central,2045,133099971,24.24,28.54,52.79
eic2025_improving_mortality_net_migration,central,2050,131494567,23.91,32.82,56.73
eic2025_improving_mortality_net_migration,eic,2025,130911314,31.59,14.81,46.4
eic2025_improving_mortality_net_migration,eic,2030,131020727,25.22,17.4,42.61
eic2025_improving_mortality_net_migration,eic,2035,130675723,20.9,20.13,41.03
eic2025_improving_mortality_net_migration,eic,2040,129742470,19.68,24.57,44.25
eic2025_improving_mortality_net_migration,eic,2045,128008297,20.18,28.97,49.15
eic2025_improving_mortality_net_migration,eic,2050,125225715,20.12,33.86,53.98
eic2025_improving_mortality_net_migration,stress,2025,130911314,31.59,14.81,46.4
eic2025_improving_mortality_net_migration,stress,2030,130874618,25.06,17.4,42.45
eic2025_improving_mortality_net_migration,stress,2035,128924466,19.01,20.13,39.14
eic2025_improving_mortality_net_migration,stress,2040,126430134,16.0,24.57,40.57
eic2025_improving_mortality_net_migration,stress,2045,123218336,14.79,29.02,43.81
eic2025_improving_mortality_net_migration,stress,2050,119107419,15.03,34.59,49.63
sensitivity_fixed_mortality_zero_migration,optimistic,2025,130911314,31.59,14.81,46.4
sensitivity_fixed_mortality_zero_migration,optimistic,2030,134951223,28.0,17.12,45.12
sensitivity_fixed_mortality_zero_migration,optimistic,2035,138172008,26.38,19.33,45.7
sensitivity_fixed_mortality_zero_migration,optimistic,2040,140553937,28.05,22.9,50.95
sensitivity_fixed_mortality_zero_migration,optimistic,2045,141769879,27.57,25.26,52.83
sensitivity_fixed_mortality_zero_migration,optimistic,2050,141727326,26.71,27.48,54.19
sensitivity_fixed_mortality_zero_migration,tempo,2025,130911314,31.59,14.81,46.4
sensitivity_fixed_mortality_zero_migration,tempo,2030,133875861,26.85,17.12,43.96
sensitivity_fixed_mortality_zero_migration,tempo,2035,136273743,24.38,19.33,43.7
sensitivity_fixed_mortality_zero_migration,tempo,2040,137956709,25.26,22.9,48.16
sensitivity_fixed_mortality_zero_migration,tempo,2045,138612855,25.6,25.55,51.15
sensitivity_fixed_mortality_zero_migration,tempo,2050,138022348,25.23,28.05,53.27
sensitivity_fixed_mortality_zero_migration,central,2025,130911314,31.59,14.81,46.4
sensitivity_fixed_mortality_zero_migration,central,2030,133388831,26.32,17.12,43.44
sensitivity_fixed_mortality_zero_migration,central,2035,135295779,23.34,19.33,42.67
sensitivity_fixed_mortality_zero_migration,central,2040,136486449,23.69,22.9,46.58
sensitivity_fixed_mortality_zero_migration,central,2045,136668848,24.12,25.68,49.81
sensitivity_fixed_mortality_zero_migration,central,2050,135603140,23.86,28.35,52.21
sensitivity_fixed_mortality_zero_migration,eic,2025,130911314,31.59,14.81,46.4
sensitivity_fixed_mortality_zero_migration,eic,2030,132073851,24.91,17.12,42.02
sensitivity_fixed_mortality_zero_migration,eic,2035,132655279,20.56,19.33,39.89
sensitivity_fixed_mortality_zero_migration,eic,2040,132516746,19.42,22.9,42.32
sensitivity_fixed_mortality_zero_migration,eic,2045,131420030,20.06,26.05,46.11
sensitivity_fixed_mortality_zero_migration,eic,2050,129096031,20.06,29.2,49.26
sensitivity_fixed_mortality_zero_migration,stress,2025,130911314,31.59,14.81,46.4
sensitivity_fixed_mortality_zero_migration,stress,2030,131927742,24.75,17.12,41.87
sensitivity_fixed_mortality_zero_migration,stress,2035,130867173,18.67,19.33,38.0
sensitivity_fixed_mortality_zero_migration,stress,2040,129099742,15.75,22.9,38.65
sensitivity_fixed_mortality_zero_migration,stress,2045,126435359,14.7,26.09,40.8
sensitivity_fixed_mortality_zero_migration,stress,2050,122682263,14.97,29.8,44.78
